,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
10,frozenset({'001_绿叶蔬菜'}),frozenset({'020_其他肉类'}),0.16375545851528384,0.17623206487835308,0.05084217092950717,0.31047619047619046,1.7617463126843658,0.021983208340257215,1.1946910661294603
0,frozenset({'001_绿叶蔬菜'}),frozenset({'002_根茎蔬菜'}),0.16375545851528384,0.11811187357038885,0.05016635475150759,0.30634920634920637,2.5937206572769953,0.03082489073888933,1.2713718985140847
1,frozenset({'002_根茎蔬菜'}),frozenset({'001_绿叶蔬菜'}),0.11811187357038885,0.16375545851528384,0.05016635475150759,0.42473591549295775,2.5937206572769953,0.03082489073888933,1.4536706949145182
43,frozenset({'007_新鲜水果'}),frozenset({'003_水果蔬菜'}),0.30484508213765854,0.1065710126845498,0.04933458099396964,0.16183492496589358,1.518564203240941,0.016846931878654603,1.0659344011429908
42,frozenset({'003_水果蔬菜'}),frozenset({'007_新鲜水果'}),0.1065710126845498,0.30484508213765854,0.04933458099396964,0.4629268292682927,1.5185642032409412,0.016846931878654603,1.2943393111878292
433,frozenset({'136_卫生纸'}),frozenset({'137_纸巾'}),0.12778124350176753,0.14644416718652525,0.04834684965689332,0.3783563873067534,2.583622103738981,0.029634031870218385,1.3730629823661786
432,frozenset({'137_纸巾'}),frozenset({'136_卫生纸'}),0.14644416718652525,0.12778124350176753,0.04834684965689332,0.3301384451544196,2.5836221037389806,0.029634031870218385,1.3020880959488716
109,frozenset({'007_新鲜水果'}),frozenset({'137_纸巾'}),0.30484508213765854,0.14644416718652525,0.04798294863797047,0.15740109140518418,1.0748198062726741,0.0033401644634131825,1.0130037246748058
108,frozenset({'137_纸巾'}),frozenset({'007_新鲜水果'}),0.14644416718652525,0.30484508213765854,0.04798294863797047,0.3276535321263756,1.0748198062726741,0.0033401644634131825,1.0339236555534403
92,frozenset({'060_大米'}),frozenset({'007_新鲜水果'}),0.1546059471823664,0.30484508213765854,0.047619047619047616,0.30800268997982516,1.0103580737469162,0.0004881849512686359,1.0045630348506336
93,frozenset({'007_新鲜水果'}),frozenset({'060_大米'}),0.30484508213765854,0.1546059471823664,0.047619047619047616,0.15620736698499318,1.0103580737469162,0.0004881849512686359,1.0018978831290628
372,frozenset({'076_干脆小食'}),frozenset({'074_饼干/曲奇'}),0.1576731129132876,0.1270014556040757,0.047203160740278645,0.2993735575337949,2.3572450891199668,0.02717844589066534,1.2460256871307474
373,frozenset({'074_饼干/曲奇'}),frozenset({'076_干脆小食'}),0.1270014556040757,0.1576731129132876,0.047203160740278645,0.3716741711011052,2.3572450891199668,0.02717844589066534,1.340589306288494
76,frozenset({'050_烹调油/汁'}),frozenset({'007_新鲜水果'}),0.1477438136826783,0.30484508213765854,0.04689124558120191,0.31738212526389864,1.0411259484270727,0.0018522705637749257,1.0183661219406055
77,frozenset({'007_新鲜水果'}),frozenset({'050_烹调油/汁'}),0.30484508213765854,0.1477438136826783,0.04689124558120191,0.15381991814461118,1.0411259484270727,0.0018522705637749257,1.0071806280864115
296,frozenset({'051_调味品'}),frozenset({'053_酱油/醋'}),0.1945830734040341,0.11062590975254731,0.046371386982740695,0.23831151482767832,2.1542106669291448,0.02484545746497273,1.1676349420540917
297,frozenset({'053_酱油/醋'}),frozenset({'051_调味品'}),0.11062590975254731,0.1945830734040341,0.046371386982740695,0.41917293233082703,2.1542106669291448,0.02484545746497273,1.3866725079257407
99,frozenset({'074_饼干/曲奇'}),frozenset({'007_新鲜水果'}),0.1270014556040757,0.30484508213765854,0.04434393844874194,0.3491608677855096,1.1453714960303654,0.00562816928351529,1.0680902291432077
98,frozenset({'007_新鲜水果'}),frozenset({'074_饼干/曲奇'}),0.30484508213765854,0.1270014556040757,0.04434393844874194,0.1454638472032742,1.1453714960303654,0.00562816928351529,1.021605161512213
440,frozenset({'141_传统衣物清洁'}),frozenset({'137_纸巾'}),0.12970472031607402,0.14644416718652525,0.043876065710126845,0.3382765531062124,2.309935312584701,0.0248815659632782,1.2898981240882006
441,frozenset({'137_纸巾'}),frozenset({'141_传统衣物清洁'}),0.14644416718652525,0.12970472031607402,0.043876065710126845,0.29960951366702165,2.309935312584701,0.0248815659632782,1.242585809868028
425,frozenset({'137_纸巾'}),frozenset({'131_口腔护理'}),0.14644416718652525,0.1296007485963818,0.04372010813058848,0.2985445509407171,2.3035711920961224,0.024740834435641113,1.2408475157914942
424,frozenset({'131_口腔护理'}),frozenset({'137_纸巾'}),0.1296007485963818,0.14644416718652525,0.04372010813058848,0.33734456478138786,2.3035711920961224,0.024740834435641113,1.2880839535133126
171,frozenset({'020_其他肉类'}),frozenset({'051_调味品'}),0.17623206487835308,0.1945830734040341,0.04330422125181951,0.2457227138643068,1.2628164904872576,0.009012444435450427,1.0677995233321564
170,frozenset({'051_调味品'}),frozenset({'020_其他肉类'}),0.1945830734040341,0.17623206487835308,0.04330422125181951,0.22254875768100454,1.2628164904872576,0.009012444435450427,1.0595750450722765
